Datetime,Open,High,Low,Close,Volume,log_return,volatilidad,ma_5,ma_20,ma_50,RSI,ma_10,ma_100,future_return,signal
2024-07-01 02:00:00,63529.8671875,63700.453125,63259.52734375,63355.0078125,1095706624,-0.002779186973711398,0.006004332321054734,63041.54296875,61952.7810546875,61292.977578125,81.45734228868835,62443.29765625,61292.977578125,9.846547992631294e-05,1
2024-07-01 03:00:00,63363.109375,63423.11328125,63296.0390625,63351.4296875,482658304,-5.647897725722732e-05,0.006062096763793839,63151.840625,62050.3021484375,61343.647109375,79.95696247507176,62617.924609375,61333.339384191175,-0.00018195869938308906,1
2024-07-01 04:00:00,63354.83984375,63360.1015625,63182.46875,63209.234375,246679552,-0.0022470705789331036,0.006176403515518092,63253.4296875,62141.069140625,61395.172734375,79.03261795208641,62744.79140625,61369.41428786058,0.0002046773723478612,1
2024-07-01 05:00:00,63205.15625,63378.5,63205.15625,63361.24609375,155336704,0.002402010188709611,0.006129605892655734,63361.64921875,62239.1544921875,61449.46828125,79.19637605502989,62887.699609375,61406.99602004717,-0.007631340603443393,0
2024-07-01 06:00:00,63365.51953125,63376.4140625,63248.375,63339.90234375,194035712,-0.00033691486565212844,0.006126889598822897,63323.3640625,62336.7078125,61502.746953125,81.30284337180889,63030.909765625,61442.79058159722,-0.007839955744721738,0
2024-07-01 07:00:00,63339.07421875,63363.12890625,63209.04296875,63222.171875,0,-0.0018604388942650154,0.006177939188142684,63296.796875,62426.37109375,61553.5265625,77.51288394282547,63169.169921875,61475.14296875,-0.006606476317767229,0
2024-07-01 08:00:00,63221.78125,63234.88671875,62782.7890625,62877.71484375,290084864,-0.005463254519377952,0.004528912899995001,63202.05390625,62501.3373046875,61596.190546875,65.8962907992208,63176.947265625,61500.18889508928,-0.004740911100073686,1
2024-07-01 09:00:00,62890.76171875,62917.078125,62751.73046875,62843.3203125,176355328,-0.0005471563619459257,0.004497758332272339,63128.87109375,62563.53828125,61634.12171875,65.32030938018873,63191.150390625,61523.752604166664,-0.0008120393662561787,1
2024-07-01 10:00:00,62842.42578125,62880.90625,62741.8671875,62804.49609375,343603200,-0.0006179847942612599,0.004464296034278575,63017.52109375,62629.19765625,61672.80609375,65.00419626493203,63189.58515625,61545.834388469826,-0.0028460716169615985,1
2024-07-01 11:00:00,62781.890625,62785.37109375,62542.01171875,62579.6171875,361535488,-0.003587043708954228,0.002179058882140644,62865.4640625,62677.176953125,61706.878671875,61.76621105297937,63094.4140625,61563.35613082627,0.0029973068057926877,1
