Datetime,Open,High,Low,Close,Volume,log_return,volatilidad,ma_5,ma_20,ma_50,RSI
2024-06-29 01:00:00,60640.1171875,60881.703125,60636.5546875,60817.953125,0,0.0030329717641851633,0.0035339607762206863,60452.86015625,60890.3275390625,61168.93859375,35.6869696789889
2024-06-29 02:00:00,60804.56640625,60861.171875,60619.5390625,60632.953125,0,-0.0030465008256723588,0.0034173977725694346,60529.30546875,60846.7583984375,61162.812734375,36.528603618650806
2024-06-29 03:00:00,60663.171875,60696.1875,60619.81640625,60646.46875,0,0.00022288406140134748,0.0033825048630734163,60609.75703125,60814.882421875,61154.864140625,38.31989962800178
2024-06-29 04:00:00,60653.65625,60697.36328125,60618.578125,60675.96875,0,0.00048630741665388924,0.003382610736924461,60681.4234375,60779.66328125,61148.89671875,46.06805147624314
2024-06-29 05:00:00,60690.23046875,60696.2421875,60627.45703125,60683.19140625,0,0.00011902943707295238,0.003373905622191721,60691.30703125,60740.2763671875,61142.872890625,41.26097127574921
2024-06-29 06:00:00,60671.55078125,60744.515625,60654.72265625,60744.515625,0,0.001010053231884574,0.003389497242742984,60676.61953125,60703.233203125,61136.3040625,50.10827968123902
2024-06-29 07:00:00,60752.4296875,61027.7109375,60752.4296875,60946.76171875,0,0.0033239240210757447,0.003410832769396935,60739.38125,60671.9833984375,61139.56859375,56.621209994964545
2024-06-29 08:00:00,60950.0078125,60968.67578125,60847.3359375,60870.27734375,0,-0.0012557255641569484,0.0033947041110481088,60784.14296875,60649.19296875,61142.6425,53.35366101226969
2024-06-29 09:00:00,60886.12890625,60892.53515625,60805.87890625,60875.98828125,0,9.381704604851275e-05,0.0033741156467198778,60824.146875,60631.61328125,61145.035546875,79.39006512700969
2024-06-29 10:00:00,60863.34375,60927.02734375,60824.6484375,60888.47265625,0,0.00020505778036760612,0.0033738739039125983,60865.203125,60633.8505859375,61147.5959375,79.25075532355672
2024-06-29 11:00:00,60890.7109375,61097.62109375,60846.953125,61027.3359375,0,0.002278020265015385,0.003398892833598193,60921.7671875,60633.9408203125,61143.161015625,79.58265382646684
2024-06-29 12:00:00,61013.5390625,61049.0390625,60909.39453125,60943.33984375,0,-0.0013773164162676566,0.003318416200108398,60921.0828125,60644.069921875,61140.6784375,75.14689641800355
2024-06-29 13:00:00,60944.95703125,61066.6796875,60928.41015625,61016.359375,0,0.0011974371934779212,0.0033183200477821086,60950.29921875,60660.0826171875,61137.93109375,75.13963104236295
2024-06-29 14:00:00,61002.91015625,61039.58203125,60868.84765625,60924.1875,0,-0.0015117513397500985,0.003067477907225103,60959.9390625,60669.23125,61131.100859375,62.45643782001447
2024-06-29 15:00:00,60911.2734375,60995.93359375,60867.28515625,60995.93359375,0,0.001176936200327438,0.003014190529374199,60981.43125,60713.445703125,61114.128984375,58.44882640251297
2024-06-29 16:00:00,61001.765625,61001.765625,60849.56640625,60885.6640625,0,-0.0018094538216890928,0.002875173653290687,60953.096875,60751.0859375,61098.22609375,62.912458584487645
2024-06-29 17:00:00,60901.03515625,60954.546875,60861.28515625,60941.81640625,0,0.0009218338507922892,0.002874156196780453,60952.7921875,60785.6404296875,61086.328671875,64.4609352586784
2024-06-29 18:00:00,60938.67578125,60954.41015625,60898.97265625,60952.3984375,0,0.00017362647259591937,0.0028715559286140923,60940.0,60821.0498046875,61071.9084375,63.790133368669665
2024-06-29 19:00:00,60957.875,60984.328125,60846.1328125,60953.375,0,1.602159557312034e-05,0.001788200710908906,60945.8375,60852.83671875,61055.075234375,63.56306106681622
2024-06-29 20:00:00,60950.89453125,60970.33984375,60891.8359375,60934.91796875,0,-0.00030285158552193305,0.0017968009875343597,60933.634375,60867.8939453125,61038.844296875,59.987951264092715
2024-06-29 21:00:00,60945.23828125,60986.5078125,60852.25,60937.33203125,0,3.961627852637407e-05,0.0017740576099446338,60943.96796875,60873.862890625,61028.780625,49.37413145832037
2024-06-29 22:00:00,60949.53125,60952.8828125,60818.9375,60860.78125,0,-0.0012570111189309967,0.0018056154418474148,60927.7609375,60885.254296875,61017.456953125,49.369779487631504
2024-06-29 23:00:00,60856.953125,60950.9140625,60856.953125,60880.32421875,0,0.0003210578521136159,0.0017977366153313985,60913.34609375,60896.9470703125,61006.22578125,50.28257217045975
2024-06-30 00:00:00,60888.4453125,60962.671875,60833.5,60932.33984375,0,0.0008540266081829771,0.0014791652471408537,60909.1390625,60909.765625,60993.515,52.71873335592892
2024-06-30 01:00:00,60928.6328125,60948.0859375,60852.33984375,60855.41796875,0,-0.0012632121094985557,0.0013785420516090874,60893.2390625,60918.376953125,60978.58078125,38.45903719981329
